"Query_mod" "Query_bgc" "Query_frag" "Sub_mod" "Sub_bgc" "Sub_frag" "PID" "alignment_len" "mismatches" "gap" "q_start" "q_end" "s_start" "s_end" "e_value" "bit_score"
"M6" "microcystinRR" "26" "M4" "microcystinRR" "26" 32.143 28 19 0 9 36 9 36 3.52e-06 29.3
"M6" "microcystinRR" "51" "M4" "microcystinRR" "51" 63.636 11 4 0 1 11 1 11 0.016 19.6
"M6" "microcystinRR" "101" "M4" "microcystinRR" "101" 39.024 41 25 0 9 49 10 50 4.69e-09 36.6
"M6" "microcystinRR" "126" "M4" "microcystinRR" "126" 38.095 42 26 0 2 43 3 44 7.79e-07 30.8
"M6" "microcystinRR" "151" "M4" "microcystinRR" "151" 27.907 43 26 2 5 47 6 43 0.79 15.4
"M6" "microcystinRR" "251" "M4" "microcystinRR" "251" 36.364 44 26 1 8 49 6 49 7.45e-10 38.5
"M6" "microcystinRR" "301" "M4" "microcystinRR" "301" 29.63 27 19 0 24 50 21 47 4.5 13.5
"M6" "microcystinRR" "401" "M4" "microcystinRR" "401" 34.091 44 29 0 7 50 4 47 1.44e-09 37.7
"M6" "microcystinRR" "426" "M4" "microcystinRR" "426" 52.273 44 20 1 8 50 5 48 1.42e-13 47.8
"M6" "microcystinRR" "451" "M4" "microcystinRR" "451" 57.447 47 19 1 5 50 2 48 3.27e-17 57
"M6" "microcystinRR" "476" "M4" "microcystinRR" "476" 62.5 48 18 0 3 50 1 48 2.42e-21 67.4
"M6" "microcystinRR" "501" "M4" "microcystinRR" "501" 74.468 47 12 0 4 50 2 48 3.25e-24 74.7
"M6" "microcystinRR" "526" "M4" "microcystinRR" "526" 68.75 48 15 0 3 50 1 48 1.06e-22 70.9
"M6" "microcystinRR" "551" "M4" "microcystinRR" "551" 63.636 44 16 0 4 47 2 45 1.7e-19 62.8
"M6" "microcystinRR" "576" "M4" "microcystinRR" "576" 77.083 48 11 0 3 50 1 48 1.08e-24 75.9
"M6" "microcystinRR" "601" "M4" "microcystinRR" "601" 89.362 47 5 0 4 50 2 48 4.29e-30 89.7
"M6" "microcystinRR" "626" "M4" "microcystinRR" "626" 75 48 12 0 3 50 1 48 2.74e-25 77.4
"M6" "microcystinRR" "651" "M4" "microcystinRR" "651" 89.13 46 5 0 5 50 3 48 5.17e-28 84.3
"M6" "microcystinRR" "676" "M4" "microcystinRR" "676" 95.833 48 2 0 3 50 1 48 1.05e-31 93.6
"M6" "microcystinRR" "701" "M4" "microcystinRR" "701" 93.75 48 3 0 3 50 1 48 7.61e-32 94
"M6" "microcystinRR" "726" "M4" "microcystinRR" "726" 88.889 45 5 0 3 47 1 45 2.2e-30 90.1
"M6" "microcystinRR" "751" "M4" "microcystinRR" "751" 85.417 48 6 1 3 50 1 47 2.3e-27 82.8
"M6" "microcystinRR" "776" "M4" "microcystinRR" "776" 93.617 47 3 0 4 50 1 47 9.37e-30 88.6
"M6" "microcystinRR" "801" "M4" "microcystinRR" "801" 85.106 47 7 0 4 50 1 47 7.03e-28 84
"M6" "microcystinRR" "826" "M4" "microcystinRR" "826" 95.745 47 2 0 4 50 1 47 3.79e-31 92
"M6" "microcystinRR" "851" "M4" "microcystinRR" "851" 100 47 0 0 4 50 1 47 8.49e-32 94
"M6" "microcystinRR" "876" "M4" "microcystinRR" "876" 87.234 47 6 0 4 50 1 47 1.44e-28 85.9
"M6" "microcystinRR" "901" "M4" "microcystinRR" "901" 78.723 47 10 0 4 50 1 47 1.13e-25 78.6
"M6" "microcystinRR" "926" "M4" "microcystinRR" "926" 74.468 47 12 0 4 50 1 47 5.72e-25 76.6
"M6" "microcystinRR" "951" "M4" "microcystinRR" "951" 65.957 47 16 0 4 50 1 47 2.44e-24 75.1
"M6" "microcystinRR" "976" "M4" "microcystinRR" "976" 52.174 46 22 0 4 49 1 46 1.67e-17 57.8
"M6" "microcystinRR" "1001" "M4" "microcystinRR" "1001" 32.143 28 19 0 4 31 1 28 9.42e-05 25.4
