"Query_mod" "Query_bgc" "Query_frag" "Sub_mod" "Sub_bgc" "Sub_frag" "PID" "alignment_len" "mismatches" "gap" "q_start" "q_end" "s_start" "s_end" "e_value" "bit_score"
"M3" "oscillaginin" "1" "M3" "microginin" "1" 46.939 49 26 0 2 50 1 49 2.76e-14 49.7
"M3" "oscillaginin" "26" "M3" "microginin" "26" 52.273 44 21 0 7 50 6 49 8.31e-16 53.5
"M3" "oscillaginin" "51" "M3" "microginin" "51" 34.694 49 32 0 2 50 1 49 8.45e-09 35.8
"M3" "oscillaginin" "76" "M3" "microginin" "76" 29.167 48 34 0 3 50 2 49 3.01e-06 29.3
"M3" "oscillaginin" "101" "M3" "microginin" "101" 51.22 41 20 0 4 44 3 43 1.62e-15 52.8
"M3" "oscillaginin" "126" "M3" "microginin" "126" 51.02 49 24 0 2 50 1 49 3.95e-15 51.6
"M3" "oscillaginin" "151" "M3" "microginin" "151" 59.184 49 20 0 2 50 1 49 2.13e-19 62.4
"M3" "oscillaginin" "176" "M3" "microginin" "176" 53.061 49 23 0 2 50 1 49 9.62e-21 65.9
"M3" "oscillaginin" "201" "M3" "microginin" "201" 44.444 45 25 0 6 50 5 49 9.86e-13 45.8
"M3" "oscillaginin" "226" "M3" "microginin" "226" 55.102 49 22 0 2 50 1 49 5.24e-16 53.9
"M3" "oscillaginin" "251" "M3" "microginin" "251" 66.667 48 16 0 2 49 1 48 6.15e-23 71.2
"M3" "oscillaginin" "276" "M3" "microginin" "276" 63.265 49 18 0 2 50 1 49 2.76e-20 64.7
"M3" "oscillaginin" "301" "M3" "microginin" "301" 59.091 44 18 0 7 50 6 49 6.74e-16 53.5
"M3" "oscillaginin" "326" "M3" "microginin" "326" 44.681 47 26 0 2 48 1 47 2.99e-12 44.3
"M3" "oscillaginin" "351" "M3" "microginin" "351" 33.333 45 29 1 2 46 1 44 0.004 21.2
"M3" "oscillaginin" "376" "M3" "microginin" "376" 42.857 42 24 0 9 50 7 48 4.01e-09 36.6
"M3" "oscillaginin" "401" "M3" "microginin" "401" 48.936 47 24 0 4 50 2 48 5.57e-13 46.2
"M3" "oscillaginin" "426" "M3" "microginin" "426" 53.191 47 21 1 4 50 2 47 3.84e-13 46.6
"M3" "oscillaginin" "451" "M3" "microginin" "451" 58.696 46 19 0 5 50 2 47 1.06e-15 53.1
"M3" "oscillaginin" "476" "M3" "microginin" "476" 56.25 48 20 1 4 50 1 48 3.1e-15 52
"M3" "oscillaginin" "501" "M3" "microginin" "501" 57.778 45 19 0 6 50 4 48 5.42e-19 61.6
"M3" "oscillaginin" "526" "M3" "microginin" "526" 61.702 47 18 0 3 49 1 47 1.19e-21 68.2
"M3" "oscillaginin" "551" "M3" "microginin" "551" 39.583 48 29 0 3 50 1 48 7.04e-05 25.8
"M3" "oscillaginin" "576" "M3" "microginin" "576" 64.286 42 15 0 9 50 7 48 2.86e-16 54.7
"M3" "oscillaginin" "601" "M3" "microginin" "601" 85.417 48 7 0 3 50 1 48 1.36e-29 88.2
"M3" "oscillaginin" "626" "M3" "microginin" "626" 89.583 48 5 0 3 50 1 48 9.6e-31 91.3
"M3" "oscillaginin" "651" "M3" "microginin" "651" 91.667 48 4 0 3 50 1 48 9.82e-31 90.9
"M3" "oscillaginin" "676" "M3" "microginin" "676" 91.667 48 4 0 3 50 1 48 4.99e-30 89.4
"M3" "oscillaginin" "701" "M3" "microginin" "701" 91.667 48 4 0 3 50 1 48 3.63e-32 94.7
"M3" "oscillaginin" "726" "M3" "microginin" "726" 85.417 48 7 0 3 50 1 48 2.67e-30 90.1
"M3" "oscillaginin" "751" "M3" "microginin" "751" 85.417 48 7 0 3 50 1 48 8.69e-29 86.3
"M3" "oscillaginin" "776" "M3" "microginin" "776" 91.667 48 4 0 3 50 1 48 1.55e-31 93.2
"M3" "oscillaginin" "801" "M3" "microginin" "801" 83.333 48 8 0 3 50 1 48 4.4e-29 87
"M3" "oscillaginin" "826" "M3" "microginin" "826" 80.851 47 9 0 3 49 1 47 5.62e-26 79
"M3" "oscillaginin" "851" "M3" "microginin" "851" 60.417 48 18 1 3 50 1 47 4.71e-15 51.6
"M3" "oscillaginin" "876" "M3" "microginin" "876" 32.609 46 31 0 5 50 2 47 2.44e-06 29.6
"M3" "oscillaginin" "901" "M3" "microginin" "901" 50 38 19 0 13 50 10 47 7.16e-14 48.5
"M3" "oscillaginin" "926" "M3" "microginin" "926" 57.692 26 11 0 4 29 1 26 1.68e-10 38.9
