"Query_mod" "Query_bgc" "Query_frag" "Sub_mod" "Sub_bgc" "Sub_frag" "PID" "alignment_len" "mismatches" "gap" "q_start" "q_end" "s_start" "s_end" "e_value" "bit_score"
"M2" "spumigin" "1" "M2" "speudospumigin" "1" 80 50 10 0 1 50 1 50 4.53e-28 84.7
"M2" "spumigin" "26" "M2" "speudospumigin" "26" 78 50 11 0 1 50 1 50 5.17e-28 84.3
"M2" "spumigin" "51" "M2" "speudospumigin" "51" 78 50 11 0 1 50 1 50 1.5e-22 70.5
"M2" "spumigin" "76" "M2" "speudospumigin" "76" 80 50 10 0 1 50 1 50 4.43e-21 67
"M2" "spumigin" "101" "M2" "speudospumigin" "101" 86 50 7 0 1 50 1 50 1.09e-30 91.3
"M2" "spumigin" "126" "M2" "speudospumigin" "126" 74 50 13 0 1 50 1 50 2.27e-28 85.1
"M2" "spumigin" "151" "M2" "speudospumigin" "151" 70 50 15 0 1 50 1 50 1.02e-25 78.6
"M2" "spumigin" "176" "M2" "speudospumigin" "176" 80 50 10 0 1 50 1 50 7e-29 86.7
"M2" "spumigin" "201" "M2" "speudospumigin" "201" 84 50 8 0 1 50 1 50 2.53e-21 67.4
"M2" "spumigin" "226" "M2" "speudospumigin" "226" 88 50 6 0 1 50 1 50 3.85e-23 72
"M2" "spumigin" "251" "M2" "speudospumigin" "251" 90 50 5 0 1 50 1 50 6.28e-31 91.7
"M2" "spumigin" "276" "M2" "speudospumigin" "276" 84 50 8 0 1 50 1 50 1.17e-27 83.6
"M2" "spumigin" "301" "M2" "speudospumigin" "301" 86 50 7 0 1 50 1 50 9.2e-27 81.3
"M2" "spumigin" "326" "M2" "speudospumigin" "326" 84 50 8 0 1 50 1 50 8.68e-30 89
"M2" "spumigin" "351" "M2" "speudospumigin" "351" 78 50 11 0 1 50 1 50 5.68e-29 86.7
"M2" "spumigin" "376" "M2" "speudospumigin" "376" 82 50 9 0 1 50 1 50 4.98e-29 87
"M2" "spumigin" "401" "M2" "speudospumigin" "401" 76.596 47 11 0 2 48 2 48 2.32e-23 72.8
"M2" "spumigin" "426" "M2" "speudospumigin" "426" 71.429 49 14 0 2 50 2 50 2.2e-23 72.8
"M2" "spumigin" "451" "M2" "speudospumigin" "451" 70 50 15 0 1 50 1 50 5.57e-24 74.3
"M2" "spumigin" "476" "M2" "speudospumigin" "476" 76 50 12 0 1 50 1 50 3.31e-25 77.4
"M2" "spumigin" "501" "M2" "speudospumigin" "501" 86 50 7 0 1 50 1 50 3.53e-30 89.7
"M2" "spumigin" "526" "M2" "speudospumigin" "526" 72 50 14 0 1 50 1 50 1.79e-25 78.2
"M2" "spumigin" "551" "M2" "speudospumigin" "551" 40.816 49 29 0 1 49 1 49 4.6e-09 36.6
"M2" "spumigin" "576" "M2" "speudospumigin" "576" 50 24 12 0 15 38 15 38 2e-05 27.3
"M2" "spumigin" "601" "M2" "speudospumigin" "601" 59.184 49 20 0 1 49 1 49 2.13e-14 50.1
"M2" "spumigin" "626" "M2" "speudospumigin" "626" 50 50 25 0 1 50 1 50 2.82e-15 52.4
"M2" "spumigin" "701" "M2" "speudospumigin" "701" 34.783 46 30 0 5 50 5 50 4.02e-06 29.3
"M2" "spumigin" "726" "M2" "speudospumigin" "726" 31.818 44 30 0 3 46 3 46 7.09e-06 28.5
"M2" "spumigin" "751" "M2" "speudospumigin" "751" 26.829 41 30 0 9 49 9 49 3.45e-05 26.6
"M2" "spumigin" "776" "M2" "speudospumigin" "776" 33.333 45 30 0 2 46 2 46 1.12e-06 30.4
"M2" "spumigin" "801" "M2" "speudospumigin" "801" 48 50 26 0 1 50 1 50 1.36e-13 48.1
"M2" "spumigin" "826" "M2" "speudospumigin" "826" 70 50 15 0 1 50 1 50 2.85e-24 75.1
"M2" "spumigin" "851" "M2" "speudospumigin" "851" 65.116 43 15 0 1 43 1 43 8.92e-19 61.2
"M2" "spumigin" "876" "M2" "speudospumigin" "876" 59.184 49 20 0 1 49 1 49 1.93e-17 57.8
"M2" "spumigin" "901" "M2" "speudospumigin" "901" 77.551 49 11 0 2 50 2 50 5.86e-27 81.6
"M2" "spumigin" "926" "M2" "speudospumigin" "926" 73.469 49 13 0 1 49 1 49 1.81e-25 77.8
"M2" "spumigin" "951" "M2" "speudospumigin" "951" 68.085 47 15 0 3 49 3 49 8.49e-23 71.2
"M2" "spumigin" "976" "M2" "speudospumigin" "976" 66 50 17 0 1 50 1 50 3.36e-24 74.7
"M2" "spumigin" "1001" "M2" "speudospumigin" "1001" 77.551 49 11 0 2 50 2 50 5.23e-28 84.3
"M2" "spumigin" "1026" "M2" "speudospumigin" "1026" 80 50 10 0 1 50 1 50 8.86e-28 84
"M2" "spumigin" "1051" "M2" "speudospumigin" "1051" 90 50 5 0 1 50 1 50 7.2e-30 89
"M2" "spumigin" "1076" "M2" "speudospumigin" "1076" 80 50 10 0 1 50 1 50 2.91e-24 75.1
"M2" "spumigin" "1101" "M2" "speudospumigin" "1101" 65.517 29 10 0 1 29 1 29 5.27e-09 35.4
